,Captain America,Doctor Strange,Groot,Hulk,Magneto,Peni Parker,The Thing,Thor,Venom,Black Panther,Black Widow,Hawkeye,Hela,Human Torch,Iron Fist,Iron Man,Magik,Mister Fantastic,Moon Knight,Namor,Psylocke,Scarlet Witch,Spider Man,Squirrel Girl,Star Lord,Storm,The Punisher,Winter Soldier,Wolverine,Adam Warlock,Cloak & Dagger,Invisible Woman,Jeff The Land Shark,Loki,Luna Snow,Mantis,Rocket Raccoon
Captain America,16451,37912,20508,7335,33777,10740,24201,20166,11488,8440,1672,4074,13510,3670,5142,5132,18495,5199,12386,17663,11285,11741,12403,10910,12380,5372,14332,29035,5329,8657,56943,53075,6916,18563,30550,10840,32403
Doctor Strange,37912,84107,107145,43472,189581,48541,117216,92792,57547,45607,9293,24792,83450,20406,26313,27125,95263,24884,67823,94410,64292,55478,64915,60025,69407,29368,83661,170001,22093,49102,302658,292001,36174,104385,176986,60131,173604
Groot,20508,107145,44362,18215,98789,27238,58532,51774,30386,22452,4452,11442,39181,10759,12844,13459,47429,12788,40396,48593,31496,29942,32470,34865,33469,15491,47303,83267,8800,23812,155344,146269,18929,51115,89845,28838,89416
Hulk,7335,43472,18215,16204,31130,8865,21382,17788,10710,8098,1578,4065,15830,3631,5467,8967,17566,4816,11237,15427,11454,11129,12555,9892,13059,4418,16101,27244,4038,9036,56330,53781,6840,19084,30362,11213,31264
Magneto,33777,189581,98789,31130,76356,44585,106311,83262,51615,39753,8712,23365,78048,17891,22949,21666,82206,21534,61126,85921,57319,50602,55994,53756,62591,27177,78485,156096,24310,45145,270616,262229,32267,95498,160369,53858,160299
Peni Parker,10740,48541,27238,8865,44585,21494,28073,25930,16208,11936,1921,4708,15698,5471,6276,7456,23578,6613,20453,21574,14158,17359,18205,17638,14990,6882,19541,37165,6474,11282,76548,68720,9574,22969,39489,13908,43037
The Thing,24201,117216,58532,21382,106311,28073,48257,57286,35770,26744,4447,11646,42246,11140,16184,14311,57004,15192,39030,50108,34703,32547,38992,33541,37159,14752,42470,89627,18328,26045,169612,164010,20367,58221,94436,32331,93319
Thor,20166,92792,51774,17788,83262,25930,57286,39277,28337,20143,3635,9418,33470,9345,12289,12645,44490,12442,32884,41803,26980,28822,29995,28476,29269,14289,35285,69854,11001,20543,139909,129895,16958,44315,75165,25611,77709
Venom,11488,57547,30386,10710,51615,16208,35770,28337,24699,12946,2759,6390,21159,5103,7858,6248,28031,7825,17188,25454,18020,18253,22486,15286,19696,7954,21507,45628,7677,13921,86273,79055,10400,29102,45793,17066,48059
Black Panther,8440,45607,22452,8098,39753,11936,26744,20143,12946,18957,2199,4983,16181,3952,6367,5188,22935,5995,12263,21746,14082,13694,15516,11233,15028,5253,15345,34744,5914,10960,65640,60388,8199,23631,34702,13796,36419
Black Widow,1672,9293,4452,1578,8712,1921,4447,3635,2759,2199,3811,1509,4109,893,1216,1005,3999,926,2671,3770,3494,2004,2902,2319,3097,1273,3456,6662,1041,2306,12306,11880,1633,4312,7696,2864,7216
Hawkeye,4074,24792,11442,4065,23365,4708,11646,9418,6390,4983,1509,9776,10402,2067,2732,2423,9584,2461,7730,9984,8155,5390,6464,6743,7576,3012,9645,18104,2789,5642,32359,31130,4004,11084,19960,6705,19402
Hela,13510,83450,39181,15830,78048,15698,42246,33470,21159,16181,4109,10402,32453,9236,9407,11463,31966,8104,25113,33056,25389,17285,22485,20932,26476,13519,31420,57765,8729,19335,110416,107713,13316,40221,67014,22694,61975
Human Torch,3670,20406,10759,3631,17891,5471,11140,9345,5103,3952,893,2067,9236,8540,2509,2939,8704,2600,5672,8529,5719,6147,5117,5065,6582,4564,10249,14355,2411,4768,29429,27663,3570,9201,15940,5491,16685
Iron Fist,5142,26313,12844,5467,22949,6276,16184,12289,7858,6367,1216,2732,9407,2509,11164,3180,13363,3639,7571,11712,8184,7662,9510,6732,8957,3443,9215,20044,3525,6047,37273,36006,4893,13182,21467,7729,21024
Iron Man,5132,27125,13459,8967,21666,7456,14311,12645,6248,5188,1005,2423,11463,2939,3180,11112,11643,3427,7958,10916,7180,8854,6088,7138,8407,3571,13065,18312,3212,6010,39085,36178,4664,11773,20275,7211,21882
Magik,18495,95263,47429,17566,82206,23578,57004,44490,28031,22935,3999,9584,31966,8704,13363,11643,38713,12922,27834,39116,28248,27498,32705,25682,31040,10867,31922,68960,11780,21542,137291,130892,16815,47657,71775,26934,75945
Mister Fantastic,5199,24884,12788,4816,21534,6613,15192,12442,7825,5995,926,2461,8104,2600,3639,3427,12922,10680,8653,10366,7220,8053,9205,7800,7962,3262,8803,18208,3039,5385,36812,35125,4551,12292,19464,6856,20071
Moon Knight,12386,67823,40396,11237,61126,20453,39030,32884,17188,12263,2671,7730,25113,5672,7571,7958,27834,8653,28457,32582,19899,20445,16163,23155,20041,7434,30199,54916,8036,14961,100280,90635,11542,33321,55945,17861,59077
Namor,17663,94410,48593,15427,85921,21574,50108,41803,25454,21746,3770,9984,33056,8529,11712,10916,39116,10366,32582,37349,26292,23651,26851,26750,27822,10286,34571,63037,9222,19997,122834,118508,16886,42424,98648,24046,70027
Psylocke,11285,64292,31496,11454,57319,14158,34703,26980,18020,14082,3494,8155,25389,5719,8184,7180,28248,7220,19899,26292,25922,15696,20061,16328,21271,8067,25459,48069,7707,14468,89256,83869,11145,28979,50560,17570,51132
Scarlet Witch,11741,55478,29942,11129,50602,17359,32547,28822,18253,13694,2004,5390,17285,6147,7662,8854,27498,8053,20445,23651,15696,24226,22833,19024,17576,8052,20304,41145,6984,12509,86398,79854,10896,26918,43419,15770,48227
Spider Man,12403,64915,32470,12555,55994,18205,38992,29995,22486,15516,2902,6464,22485,5117,9510,6088,32705,9205,16163,26851,20061,22833,27198,15087,22769,8464,22253,50610,8594,15791,97231,88335,11858,33364,46856,19600,54407
Squirrel Girl,10910,60025,34865,9892,53756,17638,33541,28476,15286,11233,2319,6743,20932,5065,6732,7138,25682,7800,23155,26750,16328,19024,15087,24951,16891,6571,25121,47296,7236,13007,87608,82297,10244,27947,47083,16091,52477
Star Lord,12380,69407,33469,13059,62591,14990,37159,29269,19696,15028,3097,7576,26476,6582,8957,8407,31040,7962,20041,27822,21271,17576,22769,16891,27884,9537,26105,50628,8537,16711,94996,92125,11924,33246,53692,19603,53208
Storm,5372,29368,15491,4418,27177,6882,14752,14289,7954,5253,1273,3012,13519,4564,3443,3571,10867,3262,7434,10286,8067,8052,8464,6571,9537,11950,13356,18452,2418,7075,42339,40743,5200,14060,22403,8481,22824
The Punisher,14332,83661,47303,16101,78485,19541,42470,35285,21507,15345,3456,9645,31420,10249,9215,13065,31922,8803,30199,34571,25459,20304,22253,25121,26105,13356,33906,63768,8997,18529,115874,111271,13924,37395,66277,22025,73391
Winter Soldier,29035,170001,83267,27244,156096,37165,89627,69854,45628,34744,6662,18104,57765,14355,20044,18312,68960,18208,54916,63037,48069,41145,50610,47296,50628,18452,63768,64868,17434,36894,231078,223730,27845,76930,128975,45091,144299
Wolverine,5329,22093,8800,4038,24310,6474,18328,11001,7677,5914,1041,2789,8729,2411,3525,3212,11780,3039,8036,9222,7707,6984,8594,7236,8537,2418,8997,17434,10560,6109,36923,36645,4754,12975,18881,7606,20632
Adam Warlock,8657,49102,23812,9036,45145,11282,26045,20543,13921,10960,2306,5642,19335,4768,6047,6010,21542,5385,14961,19997,14468,12509,15791,13007,16711,7075,18529,36894,6109,20152,66929,66354,8998,24521,37780,15921,39409
Cloak & Dagger,56943,302658,155344,56330,270616,76548,169612,139909,86273,65640,12306,32359,110416,29429,37273,39085,137291,36812,100280,122834,89256,86398,97231,87608,94996,42339,115874,231078,36923,66929,114152,397387,49417,140054,213873,80932,241233
Invisible Woman,53075,292001,146269,53781,262229,68720,164010,129895,79055,60388,11880,31130,107713,27663,36006,36178,130892,35125,90635,118508,83869,79854,88335,82297,92125,40743,111271,223730,36645,66354,397387,109949,48647,140919,213755,81246,235846
Jeff The Land Shark,6916,36174,18929,6840,32267,9574,20367,16958,10400,8199,1633,4004,13316,3570,4893,4664,16815,4551,11542,16886,11145,10896,11858,10244,11924,5200,13924,27845,4754,8998,49417,48647,15387,17694,30958,11041,30913
Loki,18563,104385,51115,19084,95498,22969,58221,44315,29102,23631,4312,11084,40221,9201,13182,11773,47657,12292,33321,42424,28979,26918,33364,27947,33246,14060,37395,76930,12975,24521,140054,140919,17694,41623,79488,30205,81392
Luna Snow,30550,176986,89845,30362,160369,39489,94436,75165,45793,34702,7696,19960,67014,15940,21467,20275,71775,19464,55945,98648,50560,43419,46856,47083,53692,22403,66277,128975,18881,37780,213873,213755,30958,79488,66807,44364,130820
Mantis,10840,60131,28838,11213,53858,13908,32331,25611,17066,13796,2864,6705,22694,5491,7729,7211,26934,6856,17861,24046,17570,15770,19600,16091,19603,8481,22025,45091,7606,15921,80932,81246,11041,30205,44364,24460,49061
Rocket Raccoon,32403,173604,89416,31264,160299,43037,93319,77709,48059,36419,7216,19402,61975,16685,21024,21882,75945,20071,59077,70027,51132,48227,54407,52477,53208,22824,73391,144299,20632,39409,241233,235846,30913,81392,130820,49061,69114
