,Captain America,Doctor Strange,Groot,Hulk,Magneto,Peni Parker,The Thing,Thor,Venom,Black Panther,Black Widow,Hawkeye,Hela,Human Torch,Iron Fist,Iron Man,Magik,Mister Fantastic,Moon Knight,Namor,Psylocke,Scarlet Witch,Spider Man,Squirrel Girl,Star Lord,Storm,The Punisher,Winter Soldier,Wolverine,Adam Warlock,Cloak & Dagger,Invisible Woman,Jeff The Land Shark,Loki,Luna Snow,Mantis,Rocket Raccoon
Captain America,-0.006729949739487706,-0.544869312730366,-0.4315135225973239,-0.40988914973238355,-0.7152491116771036,-0.023683357932527405,-0.5287562964283328,-0.2504650199067301,-0.7249988589225389,-0.07868388611130506,-0.9418659953318532,-0.6453876773519744,-0.3952571632291222,-0.9041422743100442,-0.369246225549982,-0.3408256148824744,0.5298109222523311,-0.1520967781030491,-0.9508141741780912,-0.8568508195341351,-0.5808457337017798,-0.596013172099235,-0.3503608550173831,-0.954608362431741,-0.1955447426448771,0.37071207192245503,-0.7529365181814217,-0.5123590695278297,-0.5222314716147983,-0.14167544352504902,-0.8148644991038697,-0.7950227724494024,-0.9625378745421149,0.016579331113215634,-0.8885347423141156,0.0356358273542956,0.400060451306516
Doctor Strange,0.5314094132513905,-0.006729949739487706,0.07787482475964769,0.3964292502534086,-0.1955447426448771,0.6148938474567591,0.2610036898673067,0.46354319938370825,-0.03427563412283685,0.5643176837231993,-0.9035944766121315,-0.36172209824748336,0.12612816840938357,-0.2863565771048445,0.5840540724537926,0.29059515737404107,0.8470613022479347,0.4126843130640383,-0.8381521668807012,-0.28833155182947134,0.16972886962005518,-0.15833657463214956,0.37441762353582186,-0.6551224067387609,0.25103785028784853,0.8373595297497625,-0.05755772796090808,0.07998117047634112,0.27091962662081137,0.3964292502534086,-0.5432708217313069,-0.22823452647522202,-0.594509465622798,0.4427821172368822,-0.3785941370576422,0.5795429557433764,0.7815628729704265
Groot,0.4180536231183478,-0.09133472423862266,-0.006729949739487706,0.319694196094934,-0.45098882584194955,0.5989015555275841,-0.03851121383213829,0.3632697869382091,-0.20375380199441195,0.5330050543591647,-0.9912045940399276,-0.729792523843164,-0.13122873079689468,-0.4956783382095187,0.38363558011858445,0.400060451306516,0.798664044210788,0.3576610242450742,-0.9002602830102354,-0.5869474262694137,-0.10185979258247957,-0.006729949739487706,0.31391571590372935,-0.8331881708453946,0.037751842639739186,0.8213961161590158,-0.6847262013438862,-0.1624907573463482,-0.26049782482206074,0.09470649716600321,-0.596013172099235,-0.3408256148824744,-0.6847262013438862,0.272896677625869,-0.6847262013438862,0.4216194402371314,0.6003701821022509
Hulk,0.3964292502534086,-0.40988914973238355,-0.3331540955739094,-0.006729949739487706,-0.5238669384403403,0.47884834079824823,-0.19759918087921535,-0.01732634468947647,-0.22620327501149917,0.4018720026241118,-0.975633281882302,-0.8373330515256501,-0.5975139719327671,-0.9131215435965044,0.09260503594558345,-0.013087913435008147,0.710332053560562,0.18208484316590168,-0.8619683439146342,-0.6899438435839693,-0.06178650992786561,-0.38417197140142945,-0.002491280874791557,-0.8298126356779235,-0.08922774425754132,0.4939246851171286,-0.6873414589995613,-0.19348888122470398,-0.22620327501149917,0.05889107666762827,-0.7778258183926825,-0.596013172099235,-0.91909695569885,-0.004610607386851706,-0.6860354362858664,0.4162665937406296,0.6955866401257176
Magneto,0.7017892121981277,0.18208484316590168,0.43752892636297336,0.5104070389613646,-0.006729949739487706,0.770551961608064,0.4287180046009498,0.6579986030912981,0.2689405124657398,0.6725755368068917,-0.9345286823919645,-0.3748626621181621,0.12612816840938357,0.044097828481932666,0.652603088836138,0.5440946629915526,0.8965631099247338,0.6854902175826307,-0.798921043484542,-0.22009966917425705,0.22085832050279297,0.11148944608303069,0.652603088836138,-0.5512347683908468,0.4018720026241118,0.8786943115673833,0.2450351066640295,0.33880068311968614,0.5959554818589907,0.48725238120393843,-0.3560526409124971,-0.04274584293727324,-0.5544003774126418,0.5201601766735096,-0.28437952609978656,0.6955866401257176,0.8970847885283804
Peni Parker,0.01022345845355166,-0.628353746935734,-0.6123614550065595,-0.49230824027722375,-0.7840118610870396,-0.006729949739487706,-0.4821301839211717,-0.12704338343814303,-0.40442218118692996,0.5282095822561488,-1.0065324698509917,-0.975633281882302,-0.7529365181814217,-0.8758009096924899,-0.12285441937559405,-0.37112092372404915,0.4686702844421955,-0.27446358934628257,-0.9905795983848136,-0.8546121533528568,-0.652356367020635,-0.6481843137895645,0.031402861910151625,-0.9418659953318532,-0.6152957632157476,0.4322506967296058,-0.8074870681959192,-0.5854263345508236,-0.4973591472403117,-0.41894688121641355,-0.8553614359044469,-0.7672331929549573,-0.9922740740985663,-0.29227522034569453,-0.9008216769131826,-0.030039230592191046,0.4771590539104502
The Thing,0.5152963969493571,-0.27446358934628257,0.025051314353163434,0.18413928140024005,-0.44217790407992563,0.4686702844421955,-0.006729949739487706,0.3100517279357953,0.0820868660492513,0.4054869817374387,-0.9836576402234858,-0.652356367020635,-0.023683357932527405,-0.6225798664365845,0.28275052886702623,0.28275052886702623,0.5870469409570296,0.05044039127208633,-0.8903556652445729,-0.544869312730366,-0.1123670192831836,-0.22213583133851256,0.36699610693152396,-0.7778258183926825,-0.06601364364999718,0.7516124483312232,-0.35226058259866155,-0.07235097614660346,0.5643176837231993,0.16353271853933737,-0.6108898870852831,-0.48553415401439914,-0.8157711166466278,0.1943895845936212,-0.5899809331684353,0.4822184387305428,0.8111889538140304
Thor,0.23700512042775523,-0.4770030988626832,-0.3767296864171805,0.0038664452105017233,-0.6714585025702735,0.1135834839591674,-0.3235116274147709,-0.006729949739487706,-0.41533190210308757,0.008104559646834542,-1.0011070829353106,-0.8193632157035045,-0.34464699242622054,-0.88229949083356,-0.015207160743786807,-0.03851121383213829,0.47546694315325744,-0.17905930562565253,-0.9582146941946479,-0.718930526014153,-0.40988914973238355,-0.43685811991070733,-0.14167544352504902,-0.911581710352653,-0.26249874404312235,0.3444850536358932,-0.642578874906603,-0.29227522034569453,-0.41533190210308757,-0.07446245868704504,-0.7979517477144649,-0.6925333067750308,-0.9625378745421149,-0.12494934556200576,-0.7672331929549573,0.17591305130973445,0.5456674686239482
Venom,0.7115389594435642,0.020815734643861772,0.19029390251543665,0.2127433755325241,-0.2824004119447152,0.39096228170795433,-0.09554676552822683,0.4018720026241118,-0.006729949739487706,0.5330050543591647,-0.7940394107556132,-0.3408256148824744,-0.06178650992786561,-0.2139816024633907,0.3349987749066572,0.37995630340579134,0.8230507604182131,0.44452760438206695,-0.667416566191132,-0.6899438435839693,0.15525329424578294,-0.27247435928962394,0.2807839888319481,-0.6820981189098436,0.16972886962005518,0.789303247243911,-0.1749246473537469,0.0356358273542956,0.30617850888305465,0.3632697869382091,-0.4315135225973239,-0.3952571632291222,-0.8037149166728418,0.272896677625869,-0.5512347683908468,0.6430409122790381,0.8933881058158024
Black Panther,0.06522398663233009,-0.5777775832021746,-0.5464649538381394,-0.41533190210308757,-0.6860354362858664,-0.5416694817351239,-0.41894688121641355,-0.021564459125809954,-0.5464649538381394,-0.006729949739487706,-0.9146427515394913,-0.6094153813379669,-0.17905930562565253,-0.8612462629866793,0.06733389977202187,-0.6989501170616061,0.45148160688404393,-0.4080695104141473,-0.970311816593072,-1.003081437498581,-0.4492321943739277,-0.8263835851154706,-0.26049782482206074,-0.922922172968001,-0.1624907573463482,0.3444850536358932,-0.3235116274147709,-0.35226058259866155,0.1593955098160711,-0.11446614894223694,-0.8461649769953319,-0.7607084379644532,-0.9648763420198145,-0.38045600641049915,-0.8531043560054349,0.10729872126901885,0.6553071155875969
Black Widow,0.928406095852877,0.8901345771331561,0.9777446945609518,0.9621733824033276,0.9210687829129889,0.9930725703720167,0.9701977407445104,0.9876471834563365,0.7805795112766383,0.9011828520605185,-0.006729949739487706,0.6206199695490526,0.9411484629527664,0.9931679219595024,0.8986371729392164,0.993206887050677,0.9898724591766768,0.9926484187409752,0.5795429557433764,0.9276178947985536,0.5345978446501793,0.988144118362263,0.9558111332386203,0.7417146711465656,0.9635092067926854,0.993222895394005,0.9256180852521148,0.9742352550715352,0.9913155372465479,0.9643730092880571,0.671266301864911,0.9373542746991157,0.6620122208305923,0.9799232393308963,0.8358206430547521,0.9705467962150036,0.9922960362164266
Hawkeye,0.6319277778729981,0.3482621987685075,0.7163326243641892,0.8238731520466753,0.3614027626391887,0.9621733824033276,0.6388964675416604,0.8059033162245297,0.327365715403499,0.5959554818589907,-0.6340798690280276,-0.006729949739487706,0.5885390038283509,0.5217757491988717,0.3781127055214295,0.8403998972686797,0.830335039741622,0.8862366874692038,-0.678132054190462,0.47207425453542395,0.3119848813901429,0.5266053941276629,0.5233884767984416,-0.4821301839211717,0.5974299876063083,0.9917906629356876,0.6725755368068917,0.6725755368068917,0.8780972640791667,0.8230507604182131,-0.13332000855596415,0.30811626668216574,-0.19143161210328685,0.6880340765063522,0.09890711980420797,0.8463332500018634,0.9377070532119456
Hela,0.38179726375014766,-0.13958806788835898,0.11776883131791926,0.5840540724537926,-0.13958806788835898,0.7394766187024469,0.01022345845355166,0.3311870929472449,0.04832661044889086,0.16559940614667656,-0.954608362431741,-0.6019989033073265,-0.006729949739487706,0.5959554818589907,0.18619228098862117,0.9348403844152711,0.5944780417330804,0.4054869817374387,-0.9288792922447318,-0.23634271461324485,-0.19348888122470398,-0.22417037163183673,0.44627029919775296,-0.8008491056431077,0.16353271853933737,0.95633438860831,-0.07657343396576044,0.05044039127208633,0.4822184387305428,0.45148160688404393,-0.6312227952632393,-0.24038651031917102,-0.6886442634458956,0.39096228170795433,-0.42255099693888487,0.6375088436307401,0.7349586357136628
Human Torch,0.8906823748310684,0.272896677625869,0.4822184387305428,0.8996616441175294,-0.05755772796090808,0.8623410102135156,0.6091199669576097,0.8688395913545846,0.20052170298441485,0.8477863635077032,-1.0066278214384783,-0.5352356486778478,-0.6094153813379669,-0.006729949739487706,0.7383523529216378,0.5944780417330804,0.9303475770132814,0.8492275557400222,-0.16664024761424068,-0.19143161210328685,0.5704424542615916,0.014460860030403921,-0.006729949739487706,0.054666653280919464,0.5658531992561178,0.9016858234433633,-0.5073845845961039,0.7417146711465656,0.9276178947985536,0.5519300822817885,-0.23634271461324485,-0.008849292092124261,-0.6369249319386427,0.6206199695490526,-0.22009966917425705,0.789303247243911,0.9519862491202893
Iron Fist,0.355786326071007,-0.5975139719327671,-0.3970954795975602,-0.10606493542455842,-0.6660629883151132,0.10939451989661952,-0.2962104283460011,0.001747261264811284,-0.3484586743856325,-0.08079379925099694,-0.9120970724181919,-0.39157260500040514,-0.1996521804675957,-0.7518122524006132,-0.006729949739487706,0.22288281513426922,0.5104070389613646,-0.3040550568530167,-0.9252506866455621,-0.9676666937306091,-0.4315135225973239,-0.47528844154612415,-0.13749969295180364,-0.8962654754198365,-0.2903044372289343,0.7786022213408035,-0.6225798664365845,-0.49230824027722375,0.1303019045452143,-0.2942438883109242,-0.7585054071001374,-0.7607084379644532,-0.9634259475557235,0.18413928140024005,-0.8084213916230384,-0.08712014589077843,0.573487526790438
Iron Man,0.327365715403499,-0.3040550568530167,-0.4135203507854912,-0.00037198604396748713,-0.5575545624705281,0.3576610242450742,-0.2962104283460011,0.025051314353163434,-0.39341620288476675,0.6854902175826307,-1.0066667865296521,-0.8538597967476551,-0.9483002838942456,-0.6079379412120564,-0.23634271461324485,-0.006729949739487706,0.8023112171676527,0.4771590539104502,-0.7529365181814217,-0.6481843137895645,0.0059855499517547095,-0.727402493231028,-0.5400652936066378,-0.5368483762774175,-0.27247435928962394,0.6993181875436145,-0.8046631904122001,0.020815734643861772,0.585551962853692,0.23297910028213686,-0.7788656595020164,-0.6269147433630913,-0.921502229395989,-0.11446614894223694,-0.7127780870225898,0.32161564571857726,0.6777802938941497
Magik,-0.5432708217313069,-0.8605212017269106,-0.8121239436897567,-0.7237919530395379,-0.9100230094037083,-0.4821301839211717,-0.600506840436005,-0.48892684263223374,-0.836510659897189,-0.46494150636301934,-1.0033323586556522,-0.8437949392205962,-0.6079379412120564,-0.9438074764922563,-0.5238669384403403,-0.8157711166466278,-0.006729949739487706,-0.5512347683908468,-1.001976427726814,-0.9956475982129623,-0.7715125934495193,-0.844588147704389,-0.6741374040543483,-0.9922740740985663,-0.6619835382486827,0.09050282929785425,-0.8717706241902219,-0.7484185351926378,-0.7225816615467686,-0.6565008117580131,-0.95853333912873,-0.9270797532266402,-0.9887050473609609,-0.628353746935734,-0.9522158278229279,-0.3254447808691182,0.05889107666762827
Mister Fantastic,0.1386368786240737,-0.4261442125430128,-0.37112092372404915,-0.1955447426448771,-0.6989501170616061,0.2610036898673067,-0.06390029075106185,0.16559940614667656,-0.4579875038610419,0.394609610935172,-1.0061083182199495,-0.8996965869481786,-0.41894688121641355,-0.8626874552189968,0.29059515737404107,-0.49061895338942585,0.5377748689118715,-0.006729949739487706,-0.9889844833903156,-0.6701143291373715,-0.48892684263223374,-0.37299307192234066,0.09260503594558345,-0.8897511921666621,-0.4261442125430128,0.627710024556339,-0.544869312730366,-0.18525151372406945,-0.12913651713758478,-0.3235116274147709,-0.7309824253515536,-0.7102937158913517,-0.9493872176702236,-0.004610607386851706,-0.7438448947442377,0.0356358273542956,0.7030197055414069
Moon Knight,0.9373542746991157,0.8246922674017259,0.8868003835312599,0.8485084444356592,0.7854611440055668,0.977119698905839,0.8768957657655982,0.9447547947156727,0.6539566667121557,0.9568519171140972,-0.5930028552223523,0.6646721547114864,0.9154193927657561,0.15318034813526493,0.9117907871665873,0.7394766187024469,0.988516528247839,0.9755245839113407,-0.006729949739487706,0.756988133773655,0.8311282482254145,0.8589894110146141,0.8833833065783487,0.30811626668216574,0.8707372985663995,0.9786987657688986,0.8041141304991886,0.9075651655285029,0.977119698905839,0.9268230118946996,0.4340128840582538,0.706691043238062,0.1882438264963977,0.9603161641734661,0.6105678994347712,0.9650069951237841,0.9886946995908303
Namor,0.8433909200551599,0.2748716523504964,0.573487526790438,0.6764839441049952,0.20663976969528175,0.8411522538738818,0.5314094132513905,0.7054706265351771,0.6764839441049952,0.9896215380196063,-0.9410777942775296,-0.48553415401439914,0.22288281513426922,0.17797171262431188,0.9542067942516343,0.6347244143105895,0.9821876987339881,0.656654429658396,-0.7704480332526298,-0.006729949739487706,0.5915143717690294,0.33880068311968614,0.9681923958611358,-0.4973591472403117,0.3330941508069114,0.9352042936972664,-0.13749969295180364,0.3595331724433659,0.8094406811715533,0.627710024556339,-0.08712014589077843,0.21883211437671068,-0.30013707397121414,0.7280773769132103,-0.15417782556745452,0.8726116138898032,0.9149722534697236
Psylocke,0.5673858342228053,-0.1831887690990308,0.08839989310350438,0.04832661044889086,-0.23431821998176894,0.6388964675416604,0.09890711980420797,0.3964292502534086,-0.1687131937247579,0.4357722948949525,-0.548057744129155,-0.3254447808691182,0.18002898174572768,-0.5839023537405669,0.4180536231183478,-0.019445449430730566,0.7580526939705436,0.47546694315325744,-0.844588147704389,-0.6049742712480051,-0.006729949739487706,-0.26649482802113855,0.24303040263217768,-0.7040246975016236,0.29059515737404107,0.5550442045000721,-0.33699462189899554,0.08839989310350438,0.35014701394107606,0.4601110728155122,-0.618218276926753,-0.2524752947299933,-0.7618046878035379,0.5266053941276629,-0.5173080381557809,0.5689155865905855,0.686763786251249
Scarlet Witch,0.5825532726202589,0.14487667515317426,-0.006729949739487706,0.37071207192245503,-0.12494934556200576,0.6347244143105895,0.20867593185953726,0.42339822043173214,0.2590144598106483,0.812923685636495,-1.001604017841239,-0.5400652936066378,0.2107104721528612,-0.027920759509379778,0.4618285420671482,0.7139425937520534,0.8311282482254145,0.3595331724433659,-0.872449310493589,-0.35226058259866155,0.2530349285421629,-0.006729949739487706,0.7674748415263459,-0.6687670150665719,0.24102382741705553,0.8884777003665965,-0.2424057819794483,0.21883211437671068,0.3576610242450742,0.4357722948949525,-0.40076415532005205,-0.2504650199067301,-0.7333519765513552,0.4054869817374387,-0.44747278353722864,0.6725755368068917,0.8774977525154928
Spider Man,0.3369009555384075,-0.38787752301479694,-0.3273756153827042,-0.010968618604183411,-0.6660629883151132,-0.04486276138912704,-0.38045600641049915,0.12821554404607327,-0.2942438883109242,0.24703792534308544,-0.9692710327175955,-0.5368483762774175,-0.4597301986767284,-0.006729949739487706,0.12403979347282879,0.5266053941276629,0.6606775045753737,-0.10606493542455842,-0.8968432060573232,-0.9816522953401114,-0.2564903021111541,-0.7809347410053211,-0.006729949739487706,-0.8985622464214551,-0.1749246473537469,0.6725755368068917,-0.4261442125430128,-0.4025945024580201,0.27091962662081137,0.039867525160782735,-0.7333519765513552,-0.7237919530395379,-0.9156466597375387,-0.06601364364999718,-0.7910681891889644,0.3254514157560231,0.7198920770723802
Squirrel Girl,0.9411484629527664,0.641662507259785,0.8197282713664198,0.8163527361989484,0.5377748689118715,0.928406095852877,0.7643659189137084,0.8981218108736782,0.6686382194308684,0.9094622734890263,-0.75517457062554,0.4686702844421955,0.7873892061641323,-0.06812655275989499,0.8828055759408611,0.5233884767984416,0.978814174619592,0.8762912926876867,-0.3215761661611415,0.4838992477613362,0.6905647980226481,0.6553071155875969,0.8851023469424795,-0.006729949739487706,0.7695297883473475,0.9736353596638863,0.7516124483312232,0.8205638477131518,0.8906823748310684,0.8441310416480954,0.22894588250047287,0.45321311001835274,-0.34464699242622054,0.8456021961706903,0.2689405124657398,0.9337390312283012,0.9807541617672109
Star Lord,0.18208484316590168,-0.2644977497668237,-0.05121174211871471,0.07576784477856546,-0.41533190210308757,0.6018358637367718,0.052553744171021766,0.24903884456414693,-0.1831887690990308,0.1490308578673727,-0.9769691062716607,-0.6108898870852831,-0.176992618018313,-0.579313098735093,0.2768445377499591,0.2590144598106483,0.6485236387697069,0.4126843130640383,-0.8841971980453742,-0.34655405028588704,-0.3040550568530167,-0.2544837268960306,0.16146474787477194,-0.7829896878263225,-0.006729949739487706,0.7175225258725777,-0.40442218118692996,-0.11026709655777234,0.300351570409469,0.1984792045286612,-0.6383429476997596,-0.47528844154612415,-0.8485063894355054,0.13238723407487996,-0.5287562964283328,0.48557722889045696,0.6402810238747638
Storm,-0.38417197140142945,-0.8508194292287383,-0.8348560156379907,-0.5073845845961039,-0.8921542110463595,-0.44571059620858233,-0.7650723478101984,-0.3579449531148684,-0.8027631467228848,-0.3579449531148684,-1.0066827948729793,-1.0052505624146628,-0.9697942880872853,-0.9151457229223358,-0.7920621208197789,-0.7127780870225898,-0.10396272877682933,-0.6411699240353144,-0.9921586652478732,-0.948664193176242,-0.5685041039790473,-0.9019375998455709,-0.6860354362858664,-0.9870952591428617,-0.7309824253515536,-0.006729949739487706,-0.9822137650237504,-0.8074870681959192,-0.38231528697953954,-0.6369249319386427,-0.967120321309044,-0.8962654754198365,-1.000517709318502,-0.6989501170616061,-0.9695333776077294,-0.38417197140142945,-0.06601364364999718
The Punisher,0.7394766187024469,0.044097828481932666,0.671266301864911,0.6738815595205854,-0.2584950061430046,0.7940271687169445,0.33880068311968614,0.6291189754276276,0.16146474787477194,0.3100517279357953,-0.9390779847310893,-0.6860354362858664,0.06311353448678525,0.4939246851171286,0.6091199669576097,0.791203290933225,0.858310724711246,0.5314094132513905,-0.8175740299781644,0.12403979347282879,0.3235347224200207,0.22894588250047287,0.4126843130640383,-0.7650723478101984,0.39096228170795433,0.968753865544776,-0.006729949739487706,0.24903884456414693,0.6076690664625488,0.4686702844421955,-0.3897263761437866,-0.03215752741185818,-0.4821301839211717,0.47037367904794625,-0.2824004119447152,0.671266301864911,0.7854611440055668
Winter Soldier,0.4988991700488552,-0.09344106995579793,0.1490308578673727,0.18002898174572768,-0.35226058259866155,0.571966435071849,0.05889107666762827,0.27881532086671945,-0.049095726833271014,0.33880068311968614,-0.9876951545505109,-0.6860354362858664,-0.06390029075106185,-0.75517457062554,0.47884834079824823,-0.03427563412283685,0.7349586357136628,0.1717916142450937,-0.921025065007478,-0.37299307192234066,-0.10185979258247957,-0.23229201385568599,0.38913460297904523,-0.8340237471921272,0.09680719707879715,0.7940271687169445,-0.26249874404312235,-0.006729949739487706,0.4972438425928991,0.056779102735625475,-0.6269147433630913,-0.31186464064802055,-0.8018078773901336,0.1593955098160711,-0.5899809331684353,0.45148160688404393,0.7127424745443649
