,Captain America,Doctor Strange,Groot,Hulk,Magneto,Peni Parker,The Thing,Thor,Venom,Black Panther,Black Widow,Hawkeye,Hela,Human Torch,Iron Fist,Iron Man,Magik,Mister Fantastic,Moon Knight,Namor,Psylocke,Scarlet Witch,Spider Man,Squirrel Girl,Star Lord,Storm,The Punisher,Winter Soldier,Wolverine,Adam Warlock,Cloak & Dagger,Invisible Woman,Jeff The Land Shark,Loki,Luna Snow,Mantis,Rocket Raccoon
Captain America,50.0,53.17,52.4,52.9,54.03,49.88,52.54,51.07,53.83,50.31,56.28,53.3,52.5,54.88,51.72,52.71,46.87,50.53,57.79,55.59,53.18,53.01,51.66,57.49,50.9,47.37,54.22,52.23,51.97,51.32,55.08,54.66,57.52,50.01,55.93,50.04,48.11
Doctor Strange,46.83,50.0,49.59,48.08,50.94,46.66,48.51,47.49,50.0,46.79,56.07,51.81,49.43,51.72,46.85,48.99,44.39,47.49,55.07,51.23,48.93,50.86,47.93,53.4,48.4,44.95,50.19,49.51,48.95,47.89,52.71,51.07,53.08,47.71,51.79,46.77,45.28
Groot,47.6,50.41,50.0,48.03,52.37,46.5,49.93,48.23,50.36,47.23,58.83,53.81,50.67,51.92,48.5,47.9,45.03,48.19,56.09,52.95,50.42,49.98,47.99,55.07,49.51,44.24,54.15,50.44,51.14,49.54,52.87,51.53,54.11,48.76,53.62,47.96,46.9
Hulk,47.1,51.92,51.97,50.0,52.5,48.08,51.43,49.26,51.42,48.72,58.49,55.25,53.09,54.97,50.04,50.62,45.81,49.07,55.57,53.76,50.19,51.77,49.94,54.66,49.71,46.78,53.6,51.02,51.41,48.82,54.35,53.19,56.24,49.58,53.82,48.0,46.23
Magneto,45.97,49.06,47.63,47.5,50.0,45.84,47.71,46.38,48.82,46.04,56.31,51.7,49.22,49.71,46.39,47.33,43.59,46.05,54.95,51.11,48.86,49.27,46.36,52.7,47.96,43.86,48.97,48.34,46.6,47.13,51.67,50.16,52.94,47.25,51.43,46.14,43.91
Peni Parker,50.12,53.34,53.5,51.92,54.16,50.0,52.37,50.95,52.02,46.58,63.59,57.96,54.7,56.11,50.59,51.79,47.44,52.46,59.19,55.42,53.44,53.14,49.28,57.05,53.39,48.13,55.12,52.93,52.77,51.49,55.42,54.48,58.94,51.1,56.05,49.65,47.74
The Thing,47.46,51.49,50.07,48.57,52.29,47.63,50.0,48.78,49.94,47.44,58.21,54.36,50.11,53.2,48.93,49.47,46.94,49.75,56.25,52.94,50.54,51.04,48.26,54.63,50.42,44.92,51.68,50.44,47.16,49.26,53.36,52.47,55.26,49.24,53.07,47.62,45.29
Thor,48.93,52.51,51.77,50.74,53.62,49.05,51.22,50.0,51.9,49.96,60.65,55.13,51.73,55.91,49.7,51.1,47.42,50.48,57.75,54.22,51.76,52.4,50.41,55.96,51.06,47.93,53.36,51.32,51.76,50.46,54.66,53.87,57.34,50.25,54.57,49.19,47.33
Venom,46.17,50.0,49.64,48.58,51.18,47.98,50.06,48.1,50.0,47.6,53.11,51.02,50.32,51.39,48.15,48.55,44.93,48.09,53.35,53.75,49.58,51.04,48.76,53.67,49.38,45.26,50.71,49.91,50.01,48.03,52.11,51.86,55.08,48.59,52.8,46.62,44.34
Black Panther,49.69,53.21,52.77,51.28,53.96,53.42,52.56,50.04,52.4,50.0,56.57,53.06,51.2,56.05,49.86,53.65,47.79,51.79,57.94,60.76,51.92,55.01,50.45,56.7,51.13,47.82,51.87,52.19,50.09,51.03,55.27,54.67,57.51,52.15,55.44,50.09,46.65
Black Widow,43.72,43.93,41.17,41.51,43.69,36.41,41.79,39.35,46.89,43.43,50.0,45.36,42.07,35.15,43.46,36.19,39.89,38.05,46.78,42.85,46.9,40.45,43.29,46.59,41.46,32.03,42.84,41.39,37.31,41.23,46.62,43.03,46.51,41.01,44.62,41.37,38.73
Hawkeye,46.7,48.19,46.19,44.75,48.3,42.04,45.64,44.87,48.98,46.94,54.64,50.0,47.19,48.34,47.51,44.01,44.58,44.3,53.94,47.44,48.36,46.96,46.95,52.61,46.46,37.95,46.82,46.38,43.43,44.5,50.86,48.3,50.9,46.26,49.3,44.02,42.84
Hela,47.5,50.57,49.33,46.91,50.78,45.3,49.89,48.27,49.68,48.8,57.93,52.81,50.0,46.69,49.11,43.14,46.85,47.62,56.73,50.96,50.73,51.09,47.82,54.42,49.01,42.4,50.72,49.61,47.69,47.58,53.24,51.17,54.16,47.62,52.16,46.29,45.97
Human Torch,45.12,48.28,48.08,45.03,50.29,43.89,46.8,44.09,48.61,43.95,64.85,51.66,53.31,50.0,47.2,49.05,41.55,44.75,51.71,50.96,47.2,49.85,49.92,49.86,47.36,43.1,52.12,45.72,41.95,46.53,51.2,50.17,53.36,46.4,50.96,46.46,42.16
Iron Fist,48.28,53.15,51.5,49.96,53.61,49.41,51.07,50.3,51.85,50.14,56.54,52.49,50.89,52.8,50.0,49.25,46.87,51.1,56.66,56.88,51.95,52.86,50.48,56.2,51.13,44.93,52.78,52.35,48.89,51.36,54.27,54.23,57.12,48.98,54.45,50.24,46.95
Iron Man,47.29,51.01,52.1,49.38,52.67,48.21,50.53,48.9,51.45,46.35,63.81,55.99,56.86,50.95,50.75,50.0,44.89,47.41,55.02,52.82,49.07,53.32,52.25,51.64,50.19,44.58,54.45,49.47,46.81,49.36,54.02,52.86,56.97,49.8,53.55,48.2,45.8
Magik,53.13,55.61,54.97,54.19,56.41,52.56,53.06,52.58,55.07,52.21,60.11,55.42,53.15,58.45,53.13,55.11,50.0,53.3,60.34,59.89,54.18,55.58,53.65,59.1,53.26,49.5,55.45,54.25,53.61,53.72,57.5,56.61,59.38,53.2,57.4,51.97,49.83
Mister Fantastic,49.47,52.51,51.81,50.93,53.95,47.54,50.25,49.52,51.91,48.21,61.95,55.7,52.38,55.25,48.9,52.59,46.7,50.0,59.01,53.8,51.82,51.59,49.76,55.53,52.61,46.66,53.58,51.07,51.25,51.86,54.03,53.97,57.11,50.6,54.69,49.05,46.21
Moon Knight,42.21,44.93,43.91,44.43,45.05,40.81,43.75,42.25,46.65,42.06,53.22,46.06,43.27,48.29,43.34,44.98,39.66,40.99,50.0,45.44,44.52,44.28,43.34,48.23,43.63,40.13,45.15,43.16,41.15,42.26,47.54,45.95,48.58,41.89,46.56,41.62,39.64
Namor,44.41,48.77,47.05,46.24,48.89,44.58,47.06,45.78,46.25,39.24,57.15,52.56,49.04,49.04,43.12,47.18,40.11,46.2,54.56,50.0,46.81,47.69,41.51,52.55,47.96,42.32,50.82,48.33,44.39,46.13,50.35,48.79,51.49,45.67,50.75,44.52,43.55
Psylocke,46.82,51.07,49.58,49.81,51.14,46.56,49.46,48.24,50.42,48.08,53.1,51.64,49.27,52.8,48.05,50.93,45.82,48.18,55.48,53.19,50.0,51.25,48.55,53.9,48.68,47.24,51.28,49.58,48.09,47.61,53.17,51.48,54.69,47.34,52.8,46.48,46.34
Scarlet Witch,46.99,49.14,50.02,48.23,50.73,46.86,48.96,47.6,48.96,44.99,59.55,53.04,48.91,50.15,47.14,46.68,44.42,48.41,55.72,52.31,48.75,50.0,45.07,53.36,48.81,43.73,51.07,48.59,48.64,47.01,51.9,51.21,54.08,47.72,52.29,46.63,44.29
Spider Man,48.34,52.07,52.01,50.06,53.64,50.72,51.74,49.59,51.24,49.55,56.71,53.05,52.18,50.08,49.52,47.75,46.35,50.24,56.66,58.49,51.45,54.93,50.0,55.6,50.17,45.42,52.85,52.22,49.34,49.67,54.17,54.09,57.15,50.6,54.9,48.58,46.35
Squirrel Girl,42.51,46.6,44.93,45.34,47.3,42.95,45.37,44.04,46.33,43.3,53.41,47.39,45.58,50.14,43.8,48.36,40.9,44.47,51.77,47.45,46.1,46.64,44.4,50.0,45.24,41.34,45.61,44.78,44.46,44.37,48.91,47.81,50.9,44.8,48.85,42.98,40.83
Star Lord,49.1,51.6,50.49,50.29,52.04,46.61,49.58,48.94,50.62,48.87,58.54,53.54,50.99,52.64,48.87,49.81,46.74,47.39,56.37,52.04,51.32,51.19,49.83,54.76,50.0,45.77,52.02,50.53,48.86,49.2,53.55,52.52,55.97,49.15,52.89,47.7,46.88
Storm,52.63,55.05,55.76,53.22,56.14,51.87,55.08,52.07,54.74,52.18,67.97,62.05,57.6,56.9,55.07,55.42,50.5,53.34,59.87,57.68,52.76,56.27,54.58,58.66,54.23,50.0,58.41,55.08,53.27,53.3,57.84,56.41,60.51,53.57,57.77,52.43,51.05
The Punisher,45.78,49.81,45.85,46.4,51.03,44.88,48.32,46.64,49.29,48.13,57.16,53.18,49.28,47.88,47.22,45.55,44.55,46.42,54.85,49.18,48.72,48.93,47.15,54.39,47.98,41.59,50.0,48.68,46.32,47.25,51.71,50.08,52.75,47.62,51.31,46.17,45.14
Winter Soldier,47.77,50.49,49.56,48.98,51.66,47.07,49.56,48.68,50.09,47.81,58.61,53.62,50.39,54.28,47.65,50.53,45.75,48.93,56.84,51.67,50.42,51.41,47.78,55.22,49.47,44.92,51.32,50.0,47.88,49.67,53.32,51.47,54.89,49.1,53.18,47.86,46.13
Wolverine,48.03,51.05,48.86,48.59,53.4,47.23,52.84,48.24,49.99,49.91,62.69,56.57,52.31,58.05,51.11,53.19,46.39,48.75,58.85,55.61,51.91,51.36,50.66,55.54,51.14,46.73,53.68,52.12,50.0,50.83,54.84,53.53,57.26,48.79,54.49,49.72,47.64
Adam Warlock,48.68,52.11,50.46,51.18,52.87,48.51,50.74,49.54,51.97,48.97,58.77,55.5,52.42,53.47,48.64,50.64,46.28,48.14,57.74,53.87,52.39,52.99,50.33,55.63,50.8,46.7,52.75,50.33,49.17,50.0,54.75,53.21,56.98,50.19,54.25,48.43,46.81
Cloak & Dagger,44.92,47.29,47.13,45.65,48.33,44.58,46.64,45.34,47.89,44.73,53.38,49.14,46.76,48.8,45.73,45.98,42.5,45.97,52.46,49.65,46.83,48.1,45.83,51.09,46.45,42.16,48.29,46.68,45.16,45.25,50.0,48.76,52.19,45.02,49.54,44.29,42.51
Invisible Woman,45.34,48.93,48.47,46.81,49.84,45.52,47.53,46.13,48.14,45.33,56.97,51.7,48.83,49.83,45.77,47.14,43.39,46.03,54.05,51.21,48.52,48.79,45.91,52.19,47.48,43.59,49.92,48.53,46.47,46.79,51.24,50.0,52.43,47.02,51.28,45.6,43.84
Jeff The Land Shark,42.48,46.92,45.89,43.76,47.06,41.06,44.74,42.66,44.92,42.49,53.49,49.1,45.84,46.64,42.88,43.03,40.62,42.89,51.42,48.51,45.31,45.92,42.85,49.1,44.03,39.49,47.25,45.11,42.74,43.02,47.81,47.57,50.0,44.34,49.53,42.51,40.72
Loki,49.99,52.29,51.24,50.42,52.75,48.9,50.76,49.75,51.41,47.85,58.99,53.74,52.38,53.6,51.02,50.2,46.8,49.4,58.11,54.33,52.66,52.28,49.4,55.2,50.85,46.43,52.38,50.9,51.21,49.81,54.98,52.98,55.66,50.0,54.78,48.61,46.58
Luna Snow,44.07,48.21,46.38,46.18,48.57,43.95,46.93,45.43,47.2,44.56,55.38,50.7,47.84,49.04,45.55,46.45,42.6,45.31,53.44,49.25,47.2,47.71,45.1,51.15,47.11,42.23,48.69,46.82,45.51,45.75,50.46,48.72,50.47,45.22,50.0,44.28,42.61
Mantis,49.96,53.23,52.04,52.0,53.86,50.35,52.38,50.81,53.38,49.91,58.63,55.98,53.71,53.54,49.76,51.8,48.03,50.95,58.38,55.48,53.52,53.37,51.42,57.02,52.3,47.57,53.83,52.14,50.28,51.57,55.71,54.4,57.49,51.39,55.72,50.0,48.61
