id,name,platform,mode,rank,appearance_rate,win_rate
1011,Bruce Banner,pc,quickplay,all,8.98,51.87
1011,Bruce Banner,pc,competitive,all,7.08,51.59
1011,Bruce Banner,pc,competitive,bronze,7.97,50.38
1011,Bruce Banner,pc,competitive,celestial and above,6.68,54.66
1011,Bruce Banner,pc,competitive,diamond,5.46,53.81
1011,Bruce Banner,pc,competitive,gold,7.27,51.43
1011,Bruce Banner,pc,competitive,grandmaster,4.47,54.49
1011,Bruce Banner,pc,competitive,platinum,7.02,52.31
1011,Bruce Banner,pc,competitive,silver,7.56,50.88
1011,Bruce Banner,console,quickplay,all,10.93,50.54
1011,Bruce Banner,console,competitive,all,8.88,52.12
1011,Bruce Banner,console,competitive,bronze,10.12,51.09
1011,Bruce Banner,console,competitive,celestial and above,6.59,55.24
1011,Bruce Banner,console,competitive,diamond,6.95,53.94
1011,Bruce Banner,console,competitive,gold,9.29,51.75
1011,Bruce Banner,console,competitive,grandmaster,4.90,54.80
1011,Bruce Banner,console,competitive,platinum,9.30,52.51
1011,Bruce Banner,console,competitive,silver,9.52,51.43
1014,The Punisher,pc,quickplay,all,7.58,48.32
1014,The Punisher,pc,competitive,all,10.07,48.00
1014,The Punisher,pc,competitive,bronze,10.35,46.77
1014,The Punisher,pc,competitive,celestial and above,6.20,46.84
1014,The Punisher,pc,competitive,diamond,9.58,48.63
1014,The Punisher,pc,competitive,gold,10.29,48.37
1014,The Punisher,pc,competitive,grandmaster,8.29,48.28
1014,The Punisher,pc,competitive,platinum,9.96,48.71
1014,The Punisher,pc,competitive,silver,10.29,47.71
1014,The Punisher,console,quickplay,all,7.82,45.27
1014,The Punisher,console,competitive,all,7.88,45.83
1014,The Punisher,console,competitive,bronze,9.79,45.06
1014,The Punisher,console,competitive,celestial and above,3.53,43.70
1014,The Punisher,console,competitive,diamond,6.51,46.18
1014,The Punisher,console,competitive,gold,7.75,46.14
1014,The Punisher,console,competitive,grandmaster,5.22,45.86
1014,The Punisher,console,competitive,platinum,7.10,46.40
1014,The Punisher,console,competitive,silver,8.57,45.65
1015,Storm,pc,quickplay,all,3.73,58.11
1015,Storm,pc,competitive,all,5.49,57.48
1015,Storm,pc,competitive,bronze,3.39,58.35
1015,Storm,pc,competitive,celestial and above,6.54,54.68
1015,Storm,pc,competitive,diamond,5.79,56.42
1015,Storm,pc,competitive,gold,6.21,57.71
1015,Storm,pc,competitive,grandmaster,4.69,55.87
1015,Storm,pc,competitive,platinum,7.05,56.97
1015,Storm,pc,competitive,silver,5.08,58.25
1015,Storm,console,quickplay,all,3.31,55.10
