id,name,console_competitive_all_appearance_rate,console_competitive_all_win_rate,console_competitive_bronze_appearance_rate,console_competitive_bronze_win_rate,console_competitive_celestial and above_appearance_rate,console_competitive_celestial and above_win_rate,console_competitive_diamond_appearance_rate,console_competitive_diamond_win_rate,console_competitive_gold_appearance_rate,console_competitive_gold_win_rate,console_competitive_grandmaster_appearance_rate,console_competitive_grandmaster_win_rate,console_competitive_platinum_appearance_rate,console_competitive_platinum_win_rate,console_competitive_silver_appearance_rate,console_competitive_silver_win_rate,console_quickplay_appearance_rate,console_quickplay_win_rate,pc_competitive_all_appearance_rate,pc_competitive_all_win_rate,pc_competitive_bronze_appearance_rate,pc_competitive_bronze_win_rate,pc_competitive_celestial and above_appearance_rate,pc_competitive_celestial and above_win_rate,pc_competitive_diamond_appearance_rate,pc_competitive_diamond_win_rate,pc_competitive_gold_appearance_rate,pc_competitive_gold_win_rate,pc_competitive_grandmaster_appearance_rate,pc_competitive_grandmaster_win_rate,pc_competitive_platinum_appearance_rate,pc_competitive_platinum_win_rate,pc_competitive_silver_appearance_rate,pc_competitive_silver_win_rate,pc_quickplay_appearance_rate,pc_quickplay_win_rate
1011,Bruce Banner,8.88,52.12,10.12,51.09,6.59,55.24,6.95,53.94,9.29,51.75,4.9,54.8,9.3,52.51,9.52,51.43,10.93,50.54,7.08,51.59,7.97,50.38,6.68,54.66,5.46,53.81,7.27,51.43,4.47,54.49,7.02,52.31,7.56,50.88,8.98,51.87
1014,The Punisher,7.88,45.83,9.79,45.06,3.53,43.7,6.51,46.18,7.75,46.14,5.22,45.86,7.1,46.4,8.57,45.65,7.82,45.27,10.07,48.0,10.35,46.77,6.2,46.84,9.58,48.63,10.29,48.37,8.29,48.28,9.96,48.71,10.29,47.71,7.58,48.32
1015,Storm,5.04,57.24,2.8,56.43,6.3,55.45,5.92,57.08,5.52,57.56,5.0,57.03,6.72,57.24,4.21,57.51,3.31,55.1,5.49,57.48,3.39,58.35,6.54,54.68,5.79,56.42,6.21,57.71,4.69,55.87,7.05,56.97,5.08,58.25,3.73,58.11
1016,Loki,7.11,51.5,7.24,51.8,12.55,52.08,7.91,51.09,6.63,51.57,9.8,50.86,6.59,51.66,6.76,51.57,8.53,51.65,5.98,52.1,6.4,52.27,13.12,52.85,6.41,51.63,5.57,52.14,8.79,51.82,5.38,52.12,5.78,52.26,8.22,52.55
1018,Doctor Strange,21.69,51.73,15.56,50.71,37.67,51.5,28.08,52.3,20.04,51.6,32.54,51.9,23.75,52.07,17.58,51.24,14.46,49.46,24.59,51.14,17.7,50.25,37.2,51.48,32.61,51.77,23.93,51.07,35.68,51.64,28.16,51.46,20.71,50.68,15.5,50.72
1020,Mantis,8.62,52.27,10.77,52.97,6.86,51.15,7.02,51.08,8.77,52.5,7.0,50.58,7.22,52.08,10.01,52.56,9.15,54.4,8.56,52.44,11.29,52.7,8.2,50.99,7.01,51.18,8.15,52.73,7.8,50.73,6.72,52.47,9.7,52.73,10.24,55.65
1021,Hawkeye,1.67,42.45,2.91,42.82,1.1,43.14,1.03,41.74,1.45,42.39,1.03,42.19,1.14,41.83,1.88,42.64,2.82,42.06,2.14,44.28,3.18,44.96,1.95,45.0,1.64,43.24,1.9,43.93,1.73,43.73,1.63,43.38,2.3,44.76,3.26,44.63
1022,Captain America,4.66,50.38,5.84,49.89,3.33,52.33,4.09,51.26,4.59,50.21,4.16,52.1,4.18,50.72,5.07,49.73,8.88,51.32,5.09,51.07,7.02,50.88,2.5,50.85,3.65,51.62,4.94,51.1,3.36,51.44,4.14,51.39,5.82,50.78,9.98,53.45
1023,Rocket Raccoon,14.19,54.67,10.19,53.7,11.03,52.54,16.98,54.37,14.57,55.14,15.33,54.06,16.24,54.93,12.31,54.83,12.49,53.13,16.13,55.14,11.99,55.18,9.78,51.13,17.1,54.47,17.87,55.42,14.44,53.37,18.2,55.22,15.44,55.47,13.99,55.23
1024,Hela,2.68,47.76,2.71,48.5,4.67,48.01,2.75,46.69,2.62,47.74,3.17,47.32,2.57,47.09,2.65,48.52,2.33,45.8,5.6,49.52,5.35,51.28,10.69,49.28,5.8,47.94,5.56,49.38,7.14,48.64,5.48,48.29,5.54,50.38,3.97,50.07
