,Angela,Captain America,Deadpool Vanguard,Devil Dinosaur,Doctor Strange,Emma Frost,Groot,Hulk,Magneto,Peni Parker,Rogue,The Hood,The Thing,Thor,Venom,Black Cat,Black Panther,Black Widow,Blade,Cyclops,Daredevil,Deadpool Duelist,Elsa Bloodstone,Gorr The God Butcher,Hawkeye,Hela,Human Torch,Iron Fist,Iron Man,Magik,Mister Fantastic,Moon Knight,Namor,Phoenix,Psylocke,Scarlet Witch,Spider Man,Squirrel Girl,Star Lord,Storm,The Punisher,Winter Soldier,Wolverine,Adam Warlock,Cloak & Dagger,Deadpool Strategist,Gambit,Invisible Woman,Jeff The Land Shark,Jubilee,Loki,Luna Snow,Mantis,Rocket Raccoon,Ultron,White Fox
Angela,5275,2208,3701,4841,11398,12499,2277,4278,14991,2512,3903,10523,5689,4889,4337,1363,2016,3047,2045,3380,2778,1862,3395,8961,1018,7224,1571,4395,1920,4426,2106,2190,6187,1554,4499,7292,6265,1073,2328,1132,4297,10093,2684,1579,16158,4129,10451,14787,4888,12125,3380,10785,3941,9455,1863,7446
Captain America,2208,5752,3929,6094,12696,13249,2251,5197,15641,2056,4571,10846,7119,5511,4788,1569,1966,2938,2539,3535,3081,1967,3683,11709,1027,7499,1362,5119,1856,4835,2376,2138,6795,1647,5314,8315,6290,1022,2583,1147,4376,10849,2955,1560,18120,5043,11633,13958,5189,13272,4086,11722,3672,10041,1958,9468
Deadpool Vanguard,3701,3929,9489,10399,21947,22041,4165,7065,29512,4344,7136,18122,8228,7485,7527,2463,3086,5780,3580,5431,4946,3261,6874,18609,1749,15674,2449,7706,2957,6769,3265,3854,10029,3194,9361,13865,9959,1814,4070,2053,7960,18060,4332,2902,27298,7657,19561,26675,9143,21775,7284,22187,6678,16325,3231,12468
Devil Dinosaur,4841,6094,10399,16003,32061,36824,6940,11126,41971,5835,9978,34627,12870,11910,11971,4405,6404,8219,7254,12045,7997,6336,11350,31669,3107,20311,4291,14015,5702,13906,5113,11846,15492,7323,13911,23090,16551,4523,7225,3891,19395,28661,7888,4337,47066,14889,33415,44189,16011,42319,12375,36135,12129,30186,5860,21941
Doctor Strange,11398,12696,21947,32061,30887,71399,14511,24735,94393,13539,23884,66365,30030,25524,25458,7761,10331,17867,13081,22728,15035,11304,23239,57490,7366,46900,8327,23831,11464,25540,11090,15530,34469,11497,28531,48072,30168,7794,13508,7510,28163,63157,13568,8694,96296,25965,68248,85785,28094,79817,22145,68303,21875,56322,11813,42206
Emma Frost,12499,13249,22041,36824,71399,32227,15360,24277,97216,12881,23828,64758,30672,25744,26592,8480,11589,19581,13988,23095,17643,11898,23902,58050,6879,47827,8403,27956,11501,27519,12083,16338,36044,11749,29818,47013,32211,7822,14656,7529,28957,65585,15652,9186,100590,26913,68516,93067,30302,81937,24743,73766,26495,59826,12094,43955
Groot,2277,2251,4165,6940,14511,15360,6175,4410,17860,3085,4189,12937,5623,4930,4591,1372,1942,3400,2547,4210,2840,2190,4603,10366,1323,7962,1511,4654,2178,4695,2109,3728,6368,2232,5232,8545,5949,1869,2471,1510,7122,11748,3073,1718,18659,5118,11690,16662,5598,15373,4252,13260,4828,11348,2278,7977
Hulk,4278,5197,7065,11126,24735,24277,4410,10809,31091,3672,8716,21065,12493,10271,9530,2999,4012,5695,4804,6852,6234,3983,6799,20347,1937,13921,3013,9964,3649,9594,4094,4357,11677,3262,9722,14521,12236,2031,4795,2359,9025,20385,6031,2876,33500,9059,23176,27665,9572,25195,7392,22975,7567,19389,4003,15924
Magneto,14991,15641,29512,41971,94393,97216,17860,31091,40873,17810,31385,87974,38488,32943,31861,9486,13713,27511,16541,30282,21318,14498,33379,67630,9557,66220,11290,32354,15181,32806,14645,20493,46570,15779,37007,57932,41102,9963,18514,10059,42479,90636,20818,12064,126711,32611,95114,121828,36688,102900,31521,95663,34944,78098,15506,53477
Peni Parker,2512,2056,4344,5835,13539,12881,3085,3672,17810,5705,3599,12292,3749,4282,3905,1478,1923,3258,2175,4669,2145,2160,3817,9011,1211,7649,1428,3883,2742,3745,1802,3919,6042,2600,4772,7802,5735,2067,2916,1373,6007,11088,2650,1556,16606,5075,11670,14796,5283,14418,3968,12601,3705,10911,2145,7432
Rogue,3903,4571,7136,9978,23884,23828,4189,8716,31385,3599,10418,19890,11057,9738,8934,2702,3726,5735,4563,6792,5447,4221,6614,19934,1966,13910,2631,9205,3396,8879,4048,4471,11478,3376,9303,14652,10748,2160,4707,2222,8428,19619,5422,2807,29868,8481,32610,25080,9003,24268,7148,20146,6824,17629,3707,14261
The Hood,10523,10846,18122,34627,66365,64758,12937,21065,87974,12292,19890,28064,26809,22703,22362,6577,9612,16116,12369,21234,13956,10488,20598,48235,5931,39041,8029,22600,11278,24251,10818,15214,31619,10214,23948,40523,27888,7451,12553,6945,25279,55778,13269,7890,88588,23661,59733,76538,25672,76336,19607,60464,21391,52069,10669,37838
The Thing,5689,7119,8228,12870,30030,30672,5623,12493,38488,3749,11057,26809,13612,12138,13042,4778,7508,6746,6391,9104,9738,5199,7861,25904,2288,15035,3668,14852,4274,14269,5166,6693,12255,4373,11615,15736,16617,2791,5745,2995,10728,23867,8577,3621,40707,11320,29703,36162,12623,33312,9683,28852,10968,25223,5010,18732
Thor,4889,5511,7485,11910,25524,25744,4930,10271,32943,4282,9738,22703,12138,11447,10298,3138,4303,6120,5243,7623,6584,4171,7419,21981,2194,15222,2881,10283,3877,10094,4405,4996,12032,3537,10094,15673,12582,2359,4990,2452,9109,21397,5929,3180,34880,9546,24868,28822,10455,27231,7877,23690,8373,20858,4273,16509
