,Angela,Captain America,Deadpool Vanguard,Devil Dinosaur,Doctor Strange,Emma Frost,Groot,Hulk,Magneto,Peni Parker,Rogue,The Hood,The Thing,Thor,Venom,Black Cat,Black Panther,Black Widow,Blade,Cyclops,Daredevil,Deadpool Duelist,Elsa Bloodstone,Gorr The God Butcher,Hawkeye,Hela,Human Torch,Iron Fist,Iron Man,Magik,Mister Fantastic,Moon Knight,Namor,Phoenix,Psylocke,Scarlet Witch,Spider Man,Squirrel Girl,Star Lord,Storm,The Punisher,Winter Soldier,Wolverine,Adam Warlock,Cloak & Dagger,Deadpool Strategist,Gambit,Invisible Woman,Jeff The Land Shark,Jubilee,Loki,Luna Snow,Mantis,Rocket Raccoon,Ultron,White Fox
Angela,-0.0,-0.52,0.45,-0.31,0.05,0.63,-0.64,-0.39,0.43,-1.0,-0.07,0.25,0.94,0.19,0.19,0.07,0.63,0.65,0.6,0.96,-0.45,0.57,0.57,-0.33,0.54,0.02,-0.88,0.33,-0.55,-0.55,0.56,0.33,0.86,0.94,-0.03,-0.03,0.1,0.97,0.34,-0.76,0.74,0.74,0.4,0.19,0.59,0.77,0.16,0.71,0.42,0.25,-0.23,0.67,-0.67,-0.43,-0.91,0.59
Captain America,0.53,-0.0,0.88,-0.43,0.52,0.78,0.34,0.47,0.76,-0.98,0.32,0.49,0.96,0.58,0.68,0.85,0.8,0.75,0.91,0.95,0.31,0.87,0.7,-0.01,0.5,0.19,0.67,0.56,0.49,0.11,0.8,0.86,0.96,0.98,0.35,0.53,0.63,0.98,0.69,-0.04,0.83,0.92,0.8,0.53,0.86,0.85,0.61,0.75,0.74,0.56,-0.1,0.9,-0.14,0.1,-0.32,0.89
Deadpool Vanguard,-0.45,-0.88,-0.0,-0.93,-0.52,-0.28,-0.74,-0.85,0.0,-1.0,-0.8,-0.32,0.39,-0.75,-0.3,0.07,-0.12,0.28,-0.3,0.8,-0.52,-0.16,-0.34,-0.75,0.04,-0.56,-0.85,-0.55,-0.51,-0.89,-0.53,0.24,0.3,0.63,-0.78,-0.68,-0.36,0.94,-0.57,-0.87,0.12,0.13,-0.34,-0.57,0.21,-0.15,-0.48,-0.2,-0.06,-0.51,-0.83,0.14,-0.94,-0.83,-0.83,0.03
Devil Dinosaur,0.31,0.43,0.93,-0.0,0.76,0.94,0.87,0.12,0.91,-0.96,0.35,0.9,0.92,0.52,0.65,0.57,0.91,0.97,0.82,0.99,0.0,0.88,0.75,0.47,0.96,0.74,0.65,0.52,0.8,-0.33,0.8,0.98,0.95,0.99,0.64,0.52,0.68,0.99,0.89,0.25,0.98,0.93,0.53,0.81,0.96,0.94,0.83,0.85,0.83,0.72,0.39,0.95,0.08,0.41,-0.04,0.92
Doctor Strange,-0.05,-0.52,0.52,-0.76,-0.0,0.38,0.03,-0.45,0.42,-0.99,-0.2,0.08,0.66,-0.18,0.03,0.02,0.62,0.49,0.39,0.92,-0.32,0.46,0.1,-0.41,0.38,-0.37,-0.32,-0.03,-0.1,-0.62,0.24,0.56,0.68,0.9,-0.24,-0.14,0.14,0.97,0.1,-0.63,0.53,0.55,0.61,0.15,0.66,0.68,0.2,0.19,0.17,0.28,-0.44,0.51,-0.72,-0.59,-0.74,0.54
Emma Frost,-0.63,-0.78,0.28,-0.94,-0.38,-0.0,-0.5,-0.81,0.14,-0.99,-0.77,-0.16,0.06,-0.72,-0.59,-0.38,0.07,0.29,0.04,0.81,-0.78,-0.01,-0.23,-0.69,0.25,-0.42,-0.7,-0.72,-0.22,-0.9,-0.44,0.36,0.5,0.88,-0.6,-0.54,-0.41,0.95,-0.27,-0.86,0.28,0.38,-0.56,-0.22,0.39,0.41,-0.25,-0.12,-0.16,-0.22,-0.74,0.2,-0.89,-0.76,-0.83,0.07
Groot,0.64,-0.34,0.74,-0.87,-0.03,0.5,-0.0,-0.19,0.63,-1.0,-0.41,0.45,0.1,0.04,0.61,0.41,0.8,0.78,0.58,0.9,-0.36,0.66,-0.05,-0.54,0.27,-0.12,-0.5,-0.02,0.52,-0.7,-0.18,0.88,0.71,0.93,-0.04,-0.48,0.43,0.99,0.3,-0.7,0.98,0.63,0.89,0.14,0.71,0.79,0.15,0.44,0.63,0.21,-0.49,0.7,-0.62,-0.24,-0.62,0.58
Hulk,0.39,-0.47,0.85,-0.12,0.45,0.81,0.19,-0.0,0.67,-0.97,0.3,0.45,0.95,0.32,0.51,0.47,0.79,0.81,0.82,0.97,-0.01,0.82,0.62,0.09,0.88,0.16,-0.08,0.51,0.33,-0.18,0.47,0.81,0.91,0.98,0.09,0.33,0.54,0.99,0.5,-0.12,0.9,0.86,0.9,0.45,0.85,0.8,0.56,0.74,0.71,0.61,-0.0,0.8,-0.61,0.1,-0.41,0.84
Magneto,-0.43,-0.76,-0.0,-0.91,-0.42,-0.14,-0.63,-0.67,-0.0,-1.0,-0.62,-0.35,0.22,-0.59,-0.25,-0.31,0.33,0.14,0.02,0.74,-0.66,0.19,-0.34,-0.77,0.1,-0.57,-0.74,-0.56,-0.53,-0.85,-0.39,0.42,0.52,0.77,-0.6,-0.58,-0.23,0.92,-0.53,-0.86,-0.1,0.22,-0.1,-0.41,0.27,0.31,-0.15,-0.12,-0.12,-0.18,-0.79,0.2,-0.9,-0.81,-0.92,0.2
Peni Parker,1.0,0.98,1.0,0.96,0.99,0.99,1.0,0.97,1.0,-0.0,0.98,0.99,0.99,0.98,0.99,0.99,0.99,1.0,0.99,1.0,0.98,0.99,0.99,0.98,1.0,0.98,1.0,0.98,1.0,0.85,0.99,1.0,1.0,1.0,0.99,0.98,0.99,1.0,0.99,0.98,1.0,1.0,0.99,0.99,1.0,1.0,0.99,0.99,1.0,0.99,0.98,1.0,0.98,0.97,0.97,0.99
Rogue,0.07,-0.32,0.8,-0.35,0.2,0.77,0.41,-0.3,0.62,-0.98,-0.0,0.52,0.87,-0.14,0.34,0.42,0.73,0.87,0.67,0.97,0.02,0.72,0.5,-0.11,0.7,0.14,-0.02,0.17,0.64,-0.36,0.36,0.87,0.83,0.96,-0.12,-0.01,0.41,0.98,0.42,-0.61,0.84,0.85,0.67,0.49,0.75,0.76,0.67,0.58,0.63,0.53,-0.17,0.7,-0.64,-0.24,-0.5,0.76
The Hood,-0.25,-0.49,0.32,-0.9,-0.08,0.16,-0.45,-0.45,0.35,-0.99,-0.52,-0.0,0.3,-0.51,-0.01,0.03,0.56,0.43,0.27,0.92,-0.5,0.45,-0.13,-0.65,0.69,-0.44,-0.61,-0.39,-0.11,-0.74,-0.08,0.59,0.66,0.9,-0.5,-0.53,-0.03,0.97,0.04,-0.74,0.47,0.44,-0.05,-0.05,0.49,0.54,0.1,0.1,0.06,0.06,-0.65,0.44,-0.82,-0.69,-0.73,0.48
The Thing,-0.94,-0.96,-0.39,-0.92,-0.66,-0.06,-0.1,-0.95,-0.22,-0.99,-0.87,-0.3,-0.0,-0.84,-0.85,-0.9,-0.92,0.44,-0.22,0.83,-0.96,-0.45,-0.18,-0.92,0.6,-0.64,-0.34,-0.76,-0.36,-0.96,-0.39,0.61,0.39,0.92,-0.87,-0.74,-0.73,0.97,-0.24,-0.71,0.73,0.25,-0.71,-0.57,0.05,0.15,-0.41,-0.39,-0.5,-0.35,-0.87,-0.31,-0.93,-0.87,-0.92,-0.13
Thor,-0.19,-0.58,0.75,-0.52,0.18,0.72,-0.04,-0.32,0.59,-0.98,0.14,0.51,0.84,-0.0,0.18,0.34,0.64,0.78,0.59,0.94,-0.29,0.54,0.37,-0.23,0.8,0.16,0.08,0.04,0.58,-0.41,0.29,0.78,0.83,0.97,0.09,0.12,0.28,0.99,0.42,-0.37,0.9,0.76,0.64,0.45,0.73,0.76,0.34,0.48,0.62,0.52,-0.23,0.71,-0.63,-0.21,-0.57,0.71
Venom,-0.19,-0.68,0.3,-0.65,-0.03,0.59,-0.61,-0.51,0.25,-0.99,-0.34,0.01,0.85,-0.18,-0.0,0.03,0.62,0.31,0.48,0.82,-0.44,0.37,0.27,-0.39,-0.13,-0.39,-0.36,0.18,-0.1,-0.62,0.37,0.2,0.84,0.87,-0.39,-0.16,0.17,0.97,-0.01,-0.67,0.7,0.69,0.85,-0.32,0.51,0.63,0.12,0.4,0.21,0.11,-0.46,0.61,-0.75,-0.62,-0.66,0.74
