,Angela,Captain America,Deadpool Vanguard,Devil Dinosaur,Doctor Strange,Emma Frost,Groot,Hulk,Magneto,Peni Parker,Rogue,The Hood,The Thing,Thor,Venom,Black Cat,Black Panther,Black Widow,Blade,Cyclops,Daredevil,Deadpool Duelist,Elsa Bloodstone,Gorr The God Butcher,Hawkeye,Hela,Human Torch,Iron Fist,Iron Man,Magik,Mister Fantastic,Moon Knight,Namor,Phoenix,Psylocke,Scarlet Witch,Spider Man,Squirrel Girl,Star Lord,Storm,The Punisher,Winter Soldier,Wolverine,Adam Warlock,Cloak & Dagger,Deadpool Strategist,Gambit,Invisible Woman,Jeff The Land Shark,Jubilee,Loki,Luna Snow,Mantis,Rocket Raccoon,Ultron,White Fox
Angela,50.0,46.88,52.58,48.28,50.29,53.92,45.98,47.78,52.46,31.01,49.6,51.39,58.55,51.05,51.05,50.4,53.97,54.09,53.69,59.7,47.41,53.49,53.46,48.18,53.24,50.11,42.97,51.85,46.72,46.72,53.37,51.87,56.7,58.82,49.86,49.86,50.52,60.02,51.93,44.79,55.02,55.02,52.27,51.04,53.65,55.34,50.84,54.69,52.41,51.38,48.76,54.3,45.67,47.5,42.24,53.64
Captain America,53.13,50.0,56.99,47.49,53.1,55.51,51.89,52.74,55.2,38.52,51.76,52.9,59.49,53.53,54.39,56.47,55.8,55.17,57.86,59.26,51.74,56.79,54.58,49.96,52.97,51.03,54.26,53.37,52.91,50.57,55.68,56.69,59.91,61.81,51.98,53.18,53.94,62.62,54.47,49.78,56.12,57.98,55.77,53.14,56.63,56.53,53.78,55.08,55.0,53.42,49.44,57.6,49.26,50.52,48.21,57.3
Deadpool Vanguard,47.42,43.01,50.0,41.53,46.92,48.46,45.04,43.44,50.01,29.3,44.3,48.19,52.24,44.89,48.36,50.35,49.35,51.52,48.32,55.68,46.91,49.16,48.08,44.88,50.2,46.64,43.57,46.7,47.01,42.74,46.86,51.32,51.66,53.91,44.53,45.6,47.96,58.71,46.51,43.06,50.62,50.69,48.06,46.52,51.14,49.18,47.2,48.92,49.7,47.0,43.88,50.78,41.37,43.75,43.76,50.16
Devil Dinosaur,51.72,52.51,58.47,50.0,55.29,58.69,56.84,50.65,57.76,40.17,51.95,57.6,57.93,53.06,54.1,53.46,57.64,60.31,56.08,64.02,50.01,57.12,55.17,52.74,59.54,55.04,54.14,53.06,55.7,48.15,55.78,61.78,59.2,66.79,53.99,53.11,54.43,66.06,57.29,51.37,62.71,58.32,53.14,55.82,59.49,58.61,56.18,56.57,56.18,54.84,52.25,58.89,50.42,52.37,49.8,57.92
Doctor Strange,49.71,46.9,53.08,44.71,50.0,52.13,50.14,47.38,52.43,34.9,48.93,50.44,54.2,49.04,50.14,50.11,53.88,52.87,52.24,57.99,48.19,52.7,50.54,47.66,52.13,47.91,48.23,49.82,49.46,46.14,51.31,53.4,54.37,57.46,48.69,49.22,50.78,60.37,50.55,46.07,53.14,53.29,53.75,50.82,54.22,54.38,51.09,51.05,50.9,51.57,47.46,53.05,45.23,46.39,44.98,53.27
Emma Frost,46.08,44.49,51.54,41.31,47.87,50.0,47.02,44.12,50.78,33.48,44.65,49.11,50.3,45.23,46.36,47.83,50.38,51.61,50.21,55.89,44.47,49.97,48.74,45.52,51.37,47.58,45.41,45.17,48.8,42.6,47.46,52.01,52.96,56.98,46.33,46.77,47.68,58.95,48.49,43.25,51.57,52.16,46.58,48.81,52.22,52.32,48.63,49.35,49.11,48.81,44.97,51.07,42.8,44.77,43.86,50.37
Groot,54.02,48.11,54.96,43.16,49.86,52.98,50.0,48.96,53.92,32.09,47.62,52.63,50.51,50.2,53.78,52.33,55.77,55.53,53.55,57.41,47.96,54.25,49.75,46.76,51.47,49.33,47.05,49.89,53.08,45.41,49.03,57.14,54.74,58.42,49.81,47.19,52.48,64.69,51.68,45.43,61.47,53.98,57.27,50.76,54.7,55.57,50.8,52.52,53.95,51.15,47.15,54.56,46.17,48.69,46.14,53.53
Hulk,52.22,47.26,56.56,49.35,52.62,55.88,51.04,50.0,54.3,39.05,51.65,52.59,58.99,51.79,53.03,52.75,55.63,55.84,56.02,60.2,49.95,56.06,53.82,50.48,57.05,50.89,49.55,53.04,51.85,49.02,52.74,55.84,57.88,62.51,50.48,51.84,53.24,63.56,52.95,49.34,57.58,56.74,57.57,52.64,56.47,55.79,53.36,55.04,54.74,53.78,50.0,55.76,46.21,50.54,47.64,56.37
Magneto,47.54,44.8,49.99,42.24,47.57,49.22,46.08,45.7,50.0,32.39,46.16,48.01,51.21,46.36,48.61,48.29,51.87,50.74,50.12,54.97,45.79,51.01,48.08,44.64,50.52,46.52,45.0,46.59,46.85,43.41,47.79,52.41,53.06,55.36,46.28,46.45,48.75,58.16,46.81,43.26,49.44,51.19,49.45,47.62,51.48,51.72,49.18,49.35,49.35,49.01,44.39,51.08,42.4,44.05,42.08,51.07
Peni Parker,68.99,61.48,70.7,59.83,65.1,66.52,67.91,60.95,67.61,50.0,61.29,66.52,64.95,62.47,63.53,64.68,64.43,69.98,66.76,72.24,61.26,66.94,64.79,61.57,69.61,63.32,67.58,61.27,68.67,56.56,63.93,71.63,67.49,74.88,64.12,62.91,63.71,74.79,66.05,62.42,69.6,67.97,65.96,64.52,67.28,68.41,66.08,65.84,67.84,65.58,61.95,68.34,62.19,60.65,60.47,66.82
Rogue,50.4,48.24,55.7,48.05,51.07,55.35,52.38,48.35,53.84,38.71,50.0,53.09,56.93,49.23,51.94,52.44,54.88,56.79,54.31,60.1,50.12,54.8,52.93,49.42,54.58,50.73,49.87,50.92,54.03,47.96,52.05,56.86,56.23,59.48,49.33,49.95,52.36,62.73,52.39,46.26,56.41,56.47,54.32,52.87,55.17,55.29,54.34,53.53,53.97,53.19,49.08,54.62,45.96,48.7,47.05,55.2
